ISO, Note
NRU, https://github.com/wmgeolab/geoBoundaries/issues/1434
VAT, https://github.com/wmgeolab/geoBoundaries/wiki/VAT-(Holy-See)
GRL, https://github.com/wmgeolab/geoBoundaries/wiki/GRL-(Greenland)
ATA, https://github.com/wmgeolab/geoBoundaries/wiki/ATA-(Antartica)
MUS, https://github.com/wmgeolab/geoBoundaries/wiki/MUS-(Mauritius)
DMA, https://github.com/wmgeolab/geoBoundaries/wiki/DMA-(Dominica)
GRD, https://github.com/wmgeolab/geoBoundaries/wiki/GRD-(Grenada)
KNA, https://github.com/wmgeolab/geoBoundaries/wiki/KNA-(Saint-Kitts-and-Nevis)
VCT, https://github.com/wmgeolab/geoBoundaries/wiki/VCT-(Saint-Vincent-and-the-Grenadines)
PLW, https://github.com/wmgeolab/geoBoundaries/wiki/PLW-(Palau)
NIU, https://github.com/wmgeolab/geoBoundaries/wiki/NIU-(Niue)
SMR, https://github.com/wmgeolab/geoBoundaries/wiki/SMR-(San-Marino)
LIE, https://github.com/wmgeolab/geoBoundaries/wiki/LIE-(Liechtenstein)
ATG, https://github.com/wmgeolab/geoBoundaries/wiki/ATG-(Antigua-and-Barbuda)
MNE, https://github.com/wmgeolab/geoBoundaries/wiki/MNE-(Montenegro)
ARE, https://github.com/wmgeolab/geoBoundaries/wiki/ARE-(United-Arab-Emirates)
MHL, https://github.com/wmgeolab/geoBoundaries/wiki/MHL-(Marshall-Islands)
AND, https://github.com/wmgeolab/geoBoundaries/wiki/AND-(Andorra)
TTO, https://github.com/wmgeolab/geoBoundaries/wiki/TTO-(Trinidad-and-Tobago)
BRB, https://github.com/wmgeolab/geoBoundaries/wiki/BRB-(Barbados)
